Novads/republikas pilsēta,Iestādes reģistrācijas Nr.,Iestādes nosaukums,Pakļautība,Iestādes veids,Iestādes tips,Tālrunis,E-pasts,Adrese,Direktors,Bērnu skaits vecumā līdz 5 gadu vecumam,Bērnu skaits vecumā 5 gadi un vairāk
MĀRUPES NOVADS,4301901948,"Mārupes novada pirmsskolas izglītības iestāde ""Lienīte""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,67934459,piilienite@marupe.lv,"AMATAS IELA 2, MĀRUPE, MĀRUPES NOVADS, LV-2167",BIRUTA ANTONEVIČA,144,107
MĀRUPES NOVADS,4301902806,"Mārupes novada pirmsskolas izglītības iestāde ""Zeltrīti""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,26569936,zeltriti@marupe.lv,"GAUJAS IELA 41, MĀRUPE, MĀRUPES NOVADS, LV-2167",IVETA JIRGENSONE,112,167
MĀRUPES NOVADS,4301903141,"Mārupes novada pirmsskolas izglītības iestāde ""Mārzemīte""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,26343301,marzemite@marupe.lv,"ROŽU IELA 35, MĀRUPE, MĀRUPES NOVADS, LV-2167",ILZE CELMA,144,145
MĒRSRAGA NOVADS,4101901592,"Mērsraga pirmsskolas izglītības iestāde ""Dārta""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,"63235651, 63235865",darta@mersrags.lv,"LIELĀ IELA 3, MĒRSRAGS, MĒRSRAGA NOVADS, LV-3284",DINA SPUNDE,33,33
NERETAS NOVADS,4501901606,"Neretas pirmsskolas izglītības iestāde ""Ziediņš""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,65176541,piiziedins@inbox.lv,"PASTA IELA 20, NERETA, NERETAS PAGASTS, NERETAS NOVADS, LV-5118",INITA JAKOVČIKA,41,30
NĪCAS NOVADS,4101901772,"Nīcas novada pirmsskolas izglītības iestāde ""Spārīte""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,63469917,dairaeglite@inbox.lv,"SAULES IELA 5, NĪCA, NĪCAS PAGASTS, NĪCAS NOVADS, LV-3473",DAIRA EGLĪTE,68,54
OGRES NOVADS,4301802837,"Privātā pirmsskolas izglītības iestāde ""Mikausis""",Juridiska vai fiziska persona,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,26352736,mikausis@mikausis.lv,"SKOLAS IELA 10 - 49, OGRE, OGRES NOVADS, LV-5001",IVETA UMULE,30,0
OGRES NOVADS,4301803088,"Privātā pirmsskolas izglītības iestāde ""Saules kaķis""",Juridiska vai fiziska persona,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,26780727,sia.kampio@gmail.com,"UPES PROSPEKTS 22 - 6, OGRE, OGRES NOVADS, LV-5001",LORINA SKURJATE,21,0
OGRES NOVADS,4301901449,"Ogres vispārējās pirmsskolas izglītības iestāde ""Zelta sietiņš""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,65022741,zeltasietins@ogresnovads.lv,"SKOLAS IELA 13, OGRE, OGRES NOVADS, LV-5001",INESE ĀDMINE,103,107
OGRES NOVADS,4301901452,"Madlienas vispārējā pirmsskolas izglītības iestāde ""Taurenītis""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,65039179,taurenitis@ogresnovads.lv,"Taurenīši, MADLIENA, MADLIENAS PAGASTS, OGRES NOVADS, LV-5045",INGRĪDA MĀRTIŅA,73,42
OGRES NOVADS,4301901453,"Ogres vispārējās pirmsskolas izglītības iestāde ""Cīrulītis""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,65024720,cirulitis@ogresnovads.lv,"MEŽA PROSPEKTS 8, OGRE, OGRES NOVADS, LV-5001",ILZE ZVIRGZDIŅA,167,149
OGRES NOVADS,4301901455,"Ogres vispārējās pirmsskolas izglītības iestāde ""Dzīpariņš""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,65024232,dziparins@ogresnovads.lv,"MĀLKALNES PROSPEKTS 25, OGRE, OGRES NOVADS, LV-5003",IVETA VALAINE,125,87
OGRES NOVADS,4301901457,"Ogresgala vispārējās pirmsskolas izglītības iestāde ""Ābelīte""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,65035381,abelite@ogresnovads.lv,"NĀKOTNES IELA 3, OGRESGALS, OGRESGALA PAGASTS, OGRES NOVADS, LV-5041",LĪGA ZAĶE,60,50
OGRES NOVADS,4301901458,"Ogres vispārējās pirmsskolas izglītības iestāde ""Saulīte""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,65023774,saulite@ogresnovads.lv,"AUSEKĻA PROSPEKTS 12, OGRE, OGRES NOVADS, LV-5001",MARINA GRIGA,144,139
OGRES NOVADS,4301902564,"Ogres vispārējās pirmsskolas izglītības iestāde ""Strautiņš""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,65021950,strautins@ogresnovads.lv,"LAPU IELA 9, OGRE, OGRES NOVADS, LV-5001",BAIBA ROŽKALNA,183,106
OGRES NOVADS,4301902821,"Ogres vispārējās pirmsskolas izglītības iestāde ""Riekstiņš""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,65020914,riekstins@ogresnovads.lv,"NOGĀZES IELA 6, OGRE, OGRES NOVADS, LV-5001",VITA KRAVALE,101,46
OLAINES NOVADS,4301802390,"Privātā pirmsskolas izglītības iestāde ""Saulīte""",Juridiska vai fiziska persona,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,67963069,ilona.skruzmane@gmail.com,"ĪRISU IELA 16, GRĒNES, OLAINES PAGASTS, OLAINES NOVADS, LV-2127",,29,6
OLAINES NOVADS,4301901672,"Olaines pirmsskolas izglītības iestāde ""Zīle""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,67966249,zile@olaine.lv,"KŪDRAS IELA 9, OLAINE, OLAINES NOVADS, LV-2114",LARISA KORŅEJEVA,175,90
OLAINES NOVADS,4301901673,"Olaines pirmsskolas izglītības iestāde ""Dzērvenīte""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,29625513,dzervenite@olaine.lv,"ZEMGALES IELA 39, OLAINE, OLAINES NOVADS, LV-2114",,130,69
OLAINES NOVADS,4301901780,"Olaines pirmsskolas izglītības iestāde ""Magonīte""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,67811300,magonite@olaine.lv,"BAZNĪCAS IELA 1, JAUNOLAINE, OLAINES PAGASTS, OLAINES NOVADS, LV-2127",JEĻENA KALVIŠA,137,123
OLAINES NOVADS,4301903369,"Olaines pirmsskolas izglītības iestāde ""Ābelīte""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,"67965768, 29571768",abelite@olaine.lv,"PARKA IELA 5, OLAINE, OLAINES NOVADS, LV-2114",DAIGA KOKOREVIČA,82,68
OZOLNIEKU NOVADS,4501901856,"Ozolnieku novada pirmsskolas izglītības iestāde ""Bitīte""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,29448718,bitite@ozolnieki.lv,"SAULES IELA 6, BRANKAS, CENU PAGASTS, OZOLNIEKU NOVADS, LV-3042",LIENE MEDNE,60,50
OZOLNIEKU NOVADS,4501901892,"Ozolnieku novada pirmsskolas izglītības iestāde ""Zīlīte""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,63050116,zilite@ozolnieki.lv,"MELIORĀCIJAS IELA 10, OZOLNIEKI, OZOLNIEKU PAGASTS, OZOLNIEKU NOVADS, LV-3018",LAURA KLEGERE-DORTĀNE,121,127
OZOLNIEKU NOVADS,4501902621,"Ozolnieku novada pirmsskolas izglītības iestāde ""Saulīte""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,63055159,saulite@ozolnieki.lv,"JAUNATNES IELA 4, ĀNE, CENU PAGASTS, OZOLNIEKU NOVADS, LV-3043",INESE JUMĪTE,99,65
OZOLNIEKU NOVADS,4501902901,"Ozolnieku novada pašvaldības pirmsskolas izglītības iestāde ""Pūcīte""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,26312820,pucite@ozolnieki.lv,"STADIONA IELA 2, OZOLNIEKI, OZOLNIEKU PAGASTS, OZOLNIEKU NOVADS, LV-3018",JOLANTA KUPRIŠA,87,61
PĀVILOSTAS NOVADS,4101901760,"Pāvilostas pilsētas pirmsskolas izglītības iestāde ""Dzintariņš""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,63498275,pavilostaspii@inbox.lv,"STADIONA IELA 6, PĀVILOSTA, PĀVILOSTAS NOVADS, LV-3466",MONTA PĒTERMANE,24,22
PĀVILOSTAS NOVADS,4101901985,"Vērgales pagasta pirmsskolas izglītības iestāde ""Kastanītis""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,63490847,liena.ernstsone@pavilosta.lv,"""Kastanītis"", VĒRGALE, VĒRGALES PAGASTS, PĀVILOSTAS NOVADS, LV-3463",,47,29
PĻAVIŅU NOVADS,4501901771,"Pļaviņu novada pirmsskolas izglītības iestāde ""Jumītis""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,"65134129, 25623913",PII_Jumitis@one.lv,"1. MAIJA IELA 4, KRIŠKALNI, AIVIEKSTES PAGASTS, PĻAVIŅU NOVADS, LV-5120",VIZMA MŪRNIECE,106,88
PREIĻU NOVADS,4201900530,"Preiļu pirmsskolas izglītības iestāde ""Pasaciņa""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,65321503,preilupirmsk@pvg.edu.lv,"CELTNIEKU IELA 10A, PREIĻI, PREIĻU NOVADS, LV-5301",DACE VERBICKA,215,173
PRIEKULES NOVADS,4101901733,"Priekules pirmsskolas izglītības iestāde ""Dzirnaviņas""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,63461171,pii.dzirnavinas@inbox.lv,"DZIRNAVU IELA 2, PRIEKULE, PRIEKULES NOVADS, LV-3434",INA DALBIŅA,75,46
PRIEKULES NOVADS,4101903370,"Virgas pirmsskolas izglītības iestāde ""Gaismiņa""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,26606133,pii.gaismina@priekulesnovads.lv,"""Mazā skola"", VIRGA, VIRGAS PAGASTS, PRIEKULES NOVADS, LV-3433",ZAIGA ŪDRIŅA,18,11
PRIEKUĻU NOVADS,4401901645,"Liepas pirmsskolas izglītības iestāde ""Saulīte""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,64107364,liepas.saulite@priekulunovads.lv,"MAIJA IELA 6, LIEPA, LIEPAS PAGASTS, PRIEKUĻU NOVADS, LV-4128",ELIJA LATKO,86,55
PRIEKUĻU NOVADS,4401901839,"Priekuļu pirmsskolas izglītības iestāde ""Mežmaliņa""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,"64130371, 64130343, 64130413",mezmalina@priekulunovads.lv,"ELITES IELA 1, PRIEKUĻI, PRIEKUĻU PAGASTS, PRIEKUĻU NOVADS, LV-4126",KRISTĪNA BERNĀNE,77,71
PRIEKUĻU NOVADS,4401902660,Jāņmuižas pirmsskolas izglītības iestāde,Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,64123195,iveta.zarina@priekulunovads.lv,"SPORTA IELA 3, JĀŅMUIŽA, PRIEKUĻU PAGASTS, PRIEKUĻU NOVADS, LV-4154",IVETA ZARIŅA,59,41
PRIEKUĻU NOVADS,4401903408,Veselavas pirmsskolas izglītības iestāde,Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,"64177375, 26403436",veselavaspii@priekulunovads.lv,"""Vālodzes"", BĒRZKROGS, VESELAVAS PAGASTS, PRIEKUĻU NOVADS, LV-4116",IVETA LIEPIŅA,35,19
RĒZEKNE,3101900419,"Rēzeknes pirmsskolas izglītības iestāde ""Pasaka""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,64632734,pasaka@rezekne.lv,"KOSMONAUTU IELA 9, RĒZEKNE, LV-4604",LINDA GEVAĻA,83,45
RĒZEKNE,3101901620,"Rēzeknes pilsētas pirmsskolas izglītības iestāde ""Varavīksne""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,64622831,varaviksne@rezekne.lv,"RAIŅA IELA 17, RĒZEKNE, LV-4601",NATAĻJA MAKSIMOVA,89,41
RĒZEKNE,3101901621,Rēzeknes pilsētas Katoļu pirmsskolas izglītības iestāde,Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,64622948,katolu_pii@rezekne.lv,"18. NOVEMBRA IELA 27, RĒZEKNE, LV-4601",ANITA SURAKA,84,42
RĒZEKNE,3101901622,"Rēzeknes pilsētas pirmsskolas izglītības iestāde ""Namiņš""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,64624397,namins@rezekne.lv,"KR. VALDEMĀRA IELA 3A, RĒZEKNE, LV-4601",ILGA KARPOVA,83,33
RĒZEKNE,3101901623,"Rēzeknes pilsētas pirmsskolas izglītības iestāde ""Māriņa""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,64633881,marina@rezekne.lv,"METĀLISTU IELA 4, RĒZEKNE, LV-4604",ANNA LĀCE,230,103
RĒZEKNE,3101901624,"Rēzeknes pilsētas pirmsskolas izglītības iestāde ""Auseklītis""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,64624396,auseklitis@rezekne.lv,"KR. VALDEMĀRA IELA 18, RĒZEKNE, LV-4601",ILONA ZAHARKEVIČA,86,45
RĒZEKNE,3101901652,"Rēzeknes pilsētas pirmsskolas izglītības iestāde ""Bitīte""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,64636054,bitite@rezekne.lv,"DĀRZU IELA 62A, RĒZEKNE, LV-4601",VILMA KAĻIŅINA,118,64
RĒZEKNE,3101902520,"Rēzeknes pilsētas pirmsskolas izglītības iestāde ""Rotaļa""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,64625447,rotala@rezekne.lv,"V. SEILES IELA 17, RĒZEKNE, LV-4600",ANATOLIJS BILINSKIS,62,63
RĒZEKNE,3101902677,"Rēzeknes pilsētas pirmsskolas izglītības iestāde ""Vinnijs Pūks""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,64605385,vinnijs@rezekne.lv,"J. TIŅANOVA IELA 31a, RĒZEKNE, LV-4601",INTA OZOLNIECE,59,43
RĒZEKNE,3101903400,"Rēzeknes pilsētas pirmsskolas izglītības iestāde ""Rūķītis""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,64623228,rukitis@rezekne.lv,"KOOPERATĪVA ŠĶĒRSIELA 4, RĒZEKNE, LV-4601",IRINA TUKIŠA,62,88
RĒZEKNES NOVADS,4201901553,"Strūžānu pirmsskolas izglītības iestāde ""Zvaniņš""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,"64667505, 26520742",stuzanipii@saskarsme.lv,"MIERA IELA 14a, STRŪŽĀNI, STRUŽĀNU PAGASTS, RĒZEKNES NOVADS, LV-4643",ILZE TREIKULE,29,19
RĒZEKNES NOVADS,4201901557,Dricānu pirmsskolas izglītības iestāde,Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,25400204,dricanipii@saskarsme.lv,"""Dricānu bērnudārzs"", DRICĀNI, DRICĀNU PAGASTS, RĒZEKNES NOVADS, LV-4615",BIRUTA BIKOVSKA,16,16
RĒZEKNES NOVADS,4201901558,Gaigalavas pirmsskolas izglītības iestāde,Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,64644531,gaigalavapii@saskarsme.lv,"SKOLAS IELA 1, GAIGALAVA, GAIGALAVAS PAGASTS, RĒZEKNES NOVADS, LV-4618",ILGA ŠVARCE,31,15
RĒZEKNES NOVADS,4201901565,"Maltas pirmsskolas izglītības iestāde ""Dzīpariņš""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,64631046,maltapii@saskarsme.lv,"SKOLAS IELA 25, MALTA, MALTAS PAGASTS, RĒZEKNES NOVADS, LV-4630",ALĪNA ČISTJAKOVA,66,37
RĒZEKNES NOVADS,4201901566,Ilzeskalna pirmsskolas izglītības iestāde,Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,64644563,ilzeskalnspii@saskarsme.lv,"CENTRA IELA 4, ILZESKALNS, ILZESKALNA PAGASTS, RĒZEKNES NOVADS, LV-4619",,18,8
RĒZEKNES NOVADS,4201901567,Bērzgales pirmsskolas izglītības iestāde,Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,64644641,berzgalepii@saskarsme.lv,"RĪTUPES IELA 40, BĒRZGALE, BĒRZGALES PAGASTS, RĒZEKNES NOVADS, LV-4612",,23,12
RĒZEKNES NOVADS,4201901648,"Kaunatas pirmsskolas izglītības iestāde ""Zvaniņš""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,64667136,kaunatapii@saskarsme.lv,"RĀZNAS IELA 32, KAUNATA, KAUNATAS PAGASTS, RĒZEKNES NOVADS, LV-4622",SANDRA VIŠA,44,33
RĒZEKNES NOVADS,4201901649,"Ozolaines pirmsskolas izglītības iestāde ""Jāņtārpiņš""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,64644203,ozolainepii@saskarsme.lv,"""Zariņš"", BEKŠI, OZOLAINES PAGASTS, RĒZEKNES NOVADS, LV-4633",VALENTĪNA MALIŠEVA,57,27
RĒZEKNES NOVADS,4201901979,"Nautrēnu pirmsskolas izglītības iestāde ""Vālodzīte""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,64644416,nautrenipii@saskarsme.lv,"""Vālodzīte"", ROGOVKA, NAUTRĒNU PAGASTS, RĒZEKNES NOVADS, LV-4652",TATJANA PUJATE,18,16
RĒZEKNES NOVADS,4201901980,"Griškānu pirmsskolas izglītības iestāde ""Sprīdītis""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,64640490,griskanipii@saskarsme.lv,"PARKA IELA 3, SPRŪŽEVA, GRIŠKĀNU PAGASTS, RĒZEKNES NOVADS, LV-4641",SVETLANA KLĪDZĒJA,75,29
RĒZEKNES NOVADS,4201902147,"Uļjanovas pirmsskolas izglītības iestāde ""Skudriņa""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,64640034,uljanovapii@saskarsme.lv,"JAUNATNES IELA 10, UĻJANOVA, SAKSTAGALA PAGASTS, RĒZEKNES NOVADS, LV-4645",SKAIDRĪTE VESELOVA,32,26
RĒZEKNES NOVADS,4201902751,Silmalas pirmsskolas izglītības iestāde,Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,64644821,silmalapii@saskarsme.lv,"SKOLAS IELA 3, GORNICA, SILMALAS PAGASTS, RĒZEKNES NOVADS, LV-4630",DZINTRA SMIRNOVA,45,24
RIEBIŅU NOVADS,4201900529,"Riebiņu pirmsskolas izglītības iestāde ""Sprīdītis""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,65324530,riebinupirmsk@riebini.lv,"DĀRZU IELA 2A, RIEBIŅI, RIEBIŅU PAGASTS, RIEBIŅU NOVADS, LV-5326",JEĻENA HARLAMOVA,29,25
RĪGA,3401801342,"Pirmsskolas izglītības iestāde ""Tince""",Juridiska vai fiziska persona,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,67315885,tince2@inbox.lv,"BRUŅINIEKU IELA 19, CENTRA RAJONS, RĪGA, LV-1001",INGA MARCINKEVIČA,28,41
RĪGA,3401802627,"Pirmsskolas attīstības centrs ""Čība""",Juridiska vai fiziska persona,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,29555073,ciba@rzf.lv,"KRIŠJĀŅA BARONA IELA 20 - 4, CENTRA RAJONS, RĪGA, LV-1011",LAURA GRĪNVALDE,30,11
RĪGA,3401802820,"Pirmsskolas izglītības iestāde ""Ketes māja""",Juridiska vai fiziska persona,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,67214545,kete@ketesmaja.lv,"MIESNIEKU IELA 11, CENTRA RAJONS, RĪGA, LV-1050",ARĪDA MĀRŠA,37,26
RĪGA,3401802843,"Privātā pirmsskolas izglītības iestāde ""Zīle""",Juridiska vai fiziska persona,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,29454345,zile@zile.lv,"AKAS IELA 5/7, CENTRA RAJONS, RĪGA, LV-1011",DACE HODGINA,92,52
RĪGA,3401802939,"Privātā pirmsskolas izglītības iestāde ""Childcare""",Juridiska vai fiziska persona,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,"20200000, 20447558",rudolfs.lacis@inbox.lv,"KRIŠJĀŅA BARONA IELA 3 - 3, CENTRA RAJONS, RĪGA, LV-1050",MADARA REINHOLDE,25,0
RĪGA,3401803027,"Privātā pirmsskolas izglītības iestāde ""Ābolu maiss""",Juridiska vai fiziska persona,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,"29230429, 29443552",actare.ltd@gmail.com,"LĀČPLĒŠA IELA 21 - 13, CENTRA RAJONS, RĪGA, LV-1011",KRISTĪNE GRĀVĪTE,17,1
RĪGA,3401803033,"Privātā pirmsskolas izglītības iestāde ""BG Ķipars""",Juridiska vai fiziska persona,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,67288005,bac.kipars@inbox.lv,"DZIRNAVU IELA 86/88 - 7, CENTRA RAJONS, RĪGA, LV-1050",AINA KIELBICKA,21,0
RĪGA,3401803062,"Privātā pirmsskolas izglītības iestāde ""Ķipars-2""",Juridiska vai fiziska persona,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,67288005,aina54@inbox.lv,"DZIRNAVU IELA 86/88 - 9, CENTRA RAJONS, RĪGA, LV-1050",AINA KIELBICKA,28,0
RĪGA,3401803136,"Starptautiskā pirmsskolas izglītības iestāde ""Putnu dārzs""",Juridiska vai fiziska persona,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,27812827,info@putnudarzs.eu,"KRIŠJĀŅA BARONA IELA 10 - 7, CENTRA RAJONS, RĪGA, LV-1050",,21,5
RĪGA,3401803412,"Privātā pirmsskolas izglītības iestāde ""Marijas Bērnu māja""",Juridiska vai fiziska persona,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,37129258864,marijasmaja@gmail.com,"KRIŠJĀŅA BARONA IELA 90 - 12, CENTRA RAJONS, RĪGA, LV-1001",AMANDA BERGA-DĀRZIŅA,13,12
RĪGA,3401901087,Rīgas 200. pirmsskolas izglītības iestāde,Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,67848457,r200pii@riga.lv,"AKAS IELA 1, CENTRA RAJONS, RĪGA, LV-1011",ASTRĪDA LUKINA,44,69
RĪGA,3401901914,"Rīgas pirmsskolas izglītības iestāde ""Pūcīte""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,"67848301, 67848302",rpiipuci@riga.lv,"ĒRGĻU IELA 1, CENTRA RAJONS, RĪGA, LV-1012",ILZE JURAKA,121,133
RĪGA,3401901967,Rīgas 94. pirmsskolas izglītības iestāde,Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,"67848293, 67848292, 67848294",r94pii@riga.lv,"KRIŠJĀŅA BARONA IELA 97B, CENTRA RAJONS, RĪGA, LV-1012",DACE AŠMANE,84,126
RĪGA,3401901970,Rīgas 88. pirmsskolas izglītības iestāde,Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,67848768,r88pii@riga.lv,"ĢERTRŪDES IELA 28, CENTRA RAJONS, RĪGA, LV-1011",MĀRA KRASTIŅA,19,63
RĪGA,3403801489,"Privātā pirmsskolas izglītības iestāde ""Jēriņš""",Juridiska vai fiziska persona,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības konsultatīvais centrs,67222698,jerins123@inbox.lv,"DZIRNAVU IELA 118 - 2, CENTRA RAJONS, RĪGA, LV-1050",ILZE IKAUNIECE,13,12
RĪGA,3501802798,Privātā pirmsskola Patnis,Juridiska vai fiziska persona,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,"67615743, 67622161",patnis@patnis.lv,"GREGORA IELA 13a, KURZEMES RAJONS, RĪGA, LV-1046",INGUNA VĀRTIŅA,241,50
RĪGA,3501802831,Privātā pirmsskolas izglītības iestāde BONA FAVOLA,Juridiska vai fiziska persona,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,67414446,bona@bona.lv,"KURZEMES PROSPEKTS 160, KURZEMES RAJONS, RĪGA, LV-1029",JEĻENA TARASOVA,65,29
RĪGA,3501802978,"Privātā pirmsskolas izglītības iestāde ""Rakaris""",Juridiska vai fiziska persona,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,26619503,bernudarzs.rakari@inbox.lv,"RIEKSTU IELA 11 - 3, KURZEMES RAJONS, RĪGA, LV-1055",,5,0
RĪGA,3501803022,"Privātā pirmsskolas izglītības iestāde ""Zemenīte ABC""",Juridiska vai fiziska persona,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,"67421172, 28440606",zemenite_abc@inbox.lv,"DZIRCIEMA IELA 27A - 5A, KURZEMES RAJONS, RĪGA, LV-1083",INGA DIMANTE-ANSONE,77,0
RĪGA,3501803281,"Rīgas privātā pirmsskolas izglītības iestāde ""NĀKOTNES BĒRNI""",Juridiska vai fiziska persona,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,29505929,info@nakotne.eu,"JŪRMALAS GATVE 76, KURZEMES RAJONS, RĪGA, LV-1083",ELĪNA MALIŠEVA,30,0
RĪGA,3501803341,"Privātā pirmsskolas izglītības iestāde ""Sensorais bērnudārzs ""Emīla skola""""",Juridiska vai fiziska persona,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,25434634,info@emila-skola.com,"SAULGOŽU IELA 31, KURZEMES RAJONS, RĪGA, LV-1055",ELĪNA GUBĀTE,24,2
