Nosaukums,Reģistrācijas numurs,Juridiskais status,Vadītājs,Filiāļu skaits,Strukturvienību skaits,Veids,Tips,Faktiskais dibinātājs,Deklarētais dibinātājs,Likvidēta,Adrese,Tālrunis,E-pasts
"Izglītības centrs Durbe","3360800217","Komercsabiedrības struktūrvienība",,0,0,"Profesionālās tālākizglītības un pilnveides izglītības iestāde","Profesionālās tālākizglītības un pilnveides izglītības iestāde","Sabiedrība ar ierobežotu atbildību ""Education centre Durbe""","Sabiedrība ar ierobežotu atbildību ""Education centre Durbe""",Nē,"RAIŅA BULVĀRIS 31 - 6, CENTRA RAJONS, RĪGA, LV-1050","67844499, 29284480","pasts@durbe.edu.lv"
"Izglītības iestāde ""Apsardzes mācību centrs""","3360800467","Komercsabiedrības struktūrvienība",,0,0,"Profesionālās tālākizglītības un pilnveides izglītības iestāde","Profesionālās tālākizglītības un pilnveides izglītības iestāde","SIA ""Falck Mācību centrs""","SIA ""Falck Mācību centrs""",Nē,"EZERMALAS IELA 6, RĪGA, LV-1006","67089729","macibucentrs@falck.lv"
"Izglītības iestāde ""Baltijas psihoterapijas institūts""","3360801025","Komercsabiedrības struktūrvienība","DACE ROLAVA",0,0,"Profesionālās tālākizglītības un pilnveides izglītības iestāde","Profesionālās tālākizglītības un pilnveides izglītības iestāde","Sabiedrība ar ierobežotu atbildību ""Baltijas psihoterapijas institūts""","Sabiedrība ar ierobežotu atbildību ""Baltijas psihoterapijas institūts""",Nē,"ATLANTIJAS IELA 79, RĪGA, LV-1015","29481150","dace@bpti.lv"
"Izglītības iestāde ""CNI Baltija""","3360800833","Komercsabiedrības struktūrvienība","ILANA JUDINSKA",0,0,"Profesionālās tālākizglītības un pilnveides izglītības iestāde","Profesionālās tālākizglītības un pilnveides izglītības iestāde","Sabiedrība ar ierobežotu atbildību ""PIGMALION""","Sabiedrība ar ierobežotu atbildību ""PIGMALION""",Nē,"DZIRNAVU IELA 53 - 2, VIDZEMES PRIEKŠPILSĒTA, RĪGA, LV-1010","67224900","info@cni-nsp.lv"
"Izglītības iestāde ""Pedagoģiskās meistarības skola""","4360800475","Fiziskas personas dibināta iestāde","GUNTIS BEDEICIS",0,0,"Profesionālās tālākizglītības un pilnveides izglītības iestāde","Profesionālās tālākizglītības un pilnveides izglītības iestāde","IK PEDAGOĢISKĀS MEISTARĪBAS SKOLA","IK PEDAGOĢISKĀS MEISTARĪBAS SKOLA",Nē,"SKOLA, LĒDURGA, LĒDURGAS PAGASTS, KRIMULDAS NOVADS, LV-2125","28320454 27583454","izglitiba@gmail.com"
"Izglītības un kultūras centrs ""SOVINS""","3351803157","Komercsabiedrības struktūrvienība","ĻEVS SOVINS",0,0,"Bērnu un jauniešu interešu izglītības iestāde","Bērnu un jauniešu interešu izglītības iestāde","SIA ""Sabiedriskais centrs SOVINS""","SIA ""Sabiedriskais centrs SOVINS""",Nē,"LOKOMOTĪVES IELA 86 - 39, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1057","67262179","levs@sovins.lv"
"Izglītības, kultūras un sporta centrs ""Līdumi""","4580900418","Pastarpinātās pārvaldes iestāde",,0,0,"Pieaugušo neformālās izglītības iestāde","Pieaugušo neformālās izglītības iestāde","Jelgavas novada pašvaldība","Jelgavas novada Dome",Nē,"SKOLAS IELA 4, STAĻĢENE, JAUNSVIRLAUKAS PAGASTS, JELGAVAS NOVADS, LV-3031","63085875, 29199324","lidumi@jelgavasnovads.lv"
"J. Čakstes Liepājas pilsētas 10. vidusskola","3013900925","Pastarpinātās pārvaldes iestāde","INTA FREIBERGA",0,0,"Vispārējās izglītības iestāde","Vispārizglītojošā vidusskola","Liepājas pilsētas Dome","Liepājas pilsētas Dome",Nē,"ALEJAS IELA 16, LIEPĀJA, LV-3401","63424489,63424300,63423304","10vsk@liepaja.edu.lv"
"J. Endzelīna Kauguru pamatskola","4412900640","Pastarpinātās pārvaldes iestāde","IVETA RAMBOLA",0,0,"Vispārējās izglītības iestāde","Vispārizglītojošā pamatskola","Beverīnas novada pašvaldība","Beverīnas novada pašvaldība",Nē,"Kauguru skola, KAUGURI, KAUGURU PAGASTS, BEVERĪNAS NOVADS, LV-4224","64221530, 29326289","kauguruskola@beverina.lv"
"J. Raiņa Daugavpils 6. vidusskola","2713901222","Pastarpinātās pārvaldes iestāde","LARISA KOŽEVŅIKOVA",0,0,"Vispārējās izglītības iestāde","Vispārizglītojošā vidusskola","Daugavpils pilsētas pašvaldība","Daugavpils pilsētas pašvaldība",Nē,"KOMUNĀLĀ IELA 2, DAUGAVPILS, LV-5418","65425312, 65421176","daug6vsk@inbox.lv"
"J.Cimzes Valkas Mūzikas skola","4476902225","Pastarpinātās pārvaldes iestāde","LĪGA VEINBERGA",0,0,"Profesionālās ievirzes izglītības iestāde","Mūzikas skola","Valkas novada Dome","Valkas novada Dome",Nē,"SEMINĀRA IELA 25, VALKA, VALKAS NOVADS, LV-4701","64707001, 29243363","muzikas.skola@valka.lv"
"J.G.Herdera Rīgas Grīziņkalna vidusskola","3613903047","Pastarpinātās pārvaldes iestāde","VERA PRIDAČA",0,0,"Vispārējās izglītības iestāde","Vispārizglītojošā vidusskola","Rīgas Dome","Rīgas Dome",Nē,"LAUKU IELA 9, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1009","67848952, 67848951","rherdvs@riga.lv"
"J.Pilsudska Daugavpils valsts poļu ģimnāzija","2716901232","Pastarpinātās pārvaldes iestāde","GAĻINA SMUĻKO",0,0,"Vispārējās izglītības iestāde","Ģimnāzija","Daugavpils pilsētas pašvaldība","Daugavpils pilsētas pašvaldība",Nē,"VARŠAVAS IELA 2, DAUGAVPILS, LV-5404","65451003, 65451001","dpolvsk@apollo.lv"
"J.Soikāna Ludzas mākslas skola","4275902094","Pastarpinātās pārvaldes iestāde","SANDRA VORKALE",0,0,"Profesionālās ievirzes izglītības iestāde","Mākslas skola","Ludzas novada pašvaldība","Ludzas novada pašvaldība",Nē,"STACIJAS IELA 62, LUDZA, LUDZAS NOVADS, LV-5701","65781327","maksla@ludza.lv"
"Jankas Kupalas Rīgas Baltkrievu pamatskola","3612900249","Pastarpinātās pārvaldes iestāde","ANŽELA DMITRIJEVA",0,0,"Vispārējās izglītības iestāde","Vispārizglītojošā pamatskola","Rīgas Dome","Rīgas Dome",Nē,"ILŪKSTES IELA 10, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1082","67247545","jkbkps@riga.lv"
"Jāņa Dūmiņa Baldones Mūzikas skola","4376902282","Pastarpinātās pārvaldes iestāde","DACE ŽUKA",0,0,"Profesionālās ievirzes izglītības iestāde","Mūzikas skola","Baldones novada pašvaldība","Baldones novada Dome",Nē,"DAUGAVAS IELA 23, BALDONE, BALDONES NOVADS, LV-2125","62932069","baltapils@baldone.lv"
"Jāņa Eglīša Preiļu Valsts ģimnāzija","4219900382","Pastarpinātās pārvaldes iestāde","LIGITA PAUNIŅA",0,0,"Vispārējās izglītības iestāde","Valsts ģimnāzija","Preiļu novada Dome","Preiļu novada Dome",Nē,"KOOPERATĪVĀ IELA 6, PREIĻI, PREIĻU NOVADS, LV-5301","65321663","preiluvalstsgim@pvg.edu.lv"
"Jāņa Ivanova Rēzeknes mūzikas vidusskola","3131301340","Valsts tiešās pārvaldes iestāde","ROMĀNS IVANOVS",0,0,"Profesionālās pamata un vidējās izglītības iestāde","Profesionālās vidējās izglītības iestāde","Kultūras ministrija","Latvijas Republikas Ministru kabinets",Nē,"ATBRĪVOŠANAS ALEJA 56, RĒZEKNE, LV-4601","64622480","jirmv@jirmv.lv"
"Jāņa Norviļa Madonas Mūzikas skola","4476902172","Pastarpinātās pārvaldes iestāde","MĀRTIŅŠ BERGS",0,0,"Profesionālās ievirzes izglītības iestāde","Mūzikas skola","Madonas novada pašvaldība","Madonas novada pašvaldība",Nē,"BLAUMAŅA IELA 16, MADONA, MADONAS NOVADS, LV-4801","26194675, 29143961, 64860618 ","music@madona.lv"
"Jāņa Simsona Madonas mākslas skola","4475902348","Pastarpinātās pārvaldes iestāde","KRISTĪNE ŠULCE",0,0,"Profesionālās ievirzes izglītības iestāde","Mākslas skola","Madonas novada pašvaldība","Madonas novada pašvaldība",Nē,"VALDEMĀRA BULVĀRIS 3, MADONA, MADONAS NOVADS, LV-4801","64821979, 28615694","m_maksla@inbox.lv"
"Jāņmuižas pirmsskolas izglītības iestāde","4401902660","Pastarpinātās pārvaldes iestāde","IVETA ZARIŅA",0,0,"Pirmsskolas izglītības iestāde","Pirmsskolas izglītības iestāde","Priekuļu novada pašvaldība","Priekuļu novada pašvaldība",Nē,"SPORTA IELA 3, JĀŅMUIŽA, PRIEKUĻU PAGASTS, PRIEKUĻU NOVADS, LV-4154","64123195","iveta.zarina@priekulunovads.lv"
"Jaunā Rīgas mūzikas skola","3376802797","Biedrības struktūrvienība",,0,0,"Profesionālās ievirzes izglītības iestāde","Mūzikas skola","Biedrība ""Mūzikas izglītības arka""","Biedrība ""Mūzikas izglītības arka""",Nē,"BRUŅINIEKU IELA 73B - 4, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1009","67297422, 29227692","jauna.rigas.muzikas.skola@gmail.com"
"Jaunalūksnes pirmsskolas izglītības iestāde ""Pūcīte""","4401901485","Pastarpinātās pārvaldes iestāde","LIGITA BELOVA",0,0,"Pirmsskolas izglītības iestāde","Pirmsskolas izglītības iestāde","Alūksnes novada pašvaldība","Alūksnes novada pašvaldība",Nē,"Pūcītes, KOLBERĢIS, JAUNALŪKSNES PAGASTS, ALŪKSNES NOVADS, LV-4350","64354009","pucite@aluksne.lv"
"Jaunannas Mūzikas un mākslas pamatskola","4412902908","Pastarpinātās pārvaldes iestāde","JANĪNA PUŽULE",0,2,"Vispārējās izglītības iestāde","Vispārizglītojošā pamatskola","Alūksnes novada pašvaldība","Alūksnes novada pašvaldība",Nē,"CENTRA IELA 5, JAUNANNA, JAUNANNAS PAGASTS, ALŪKSNES NOVADS, LV-4340","26489927","skola.jaunanna@aluksne.lv"
"Jaunatnes futbola centrs ""Skonto""","3371802720","Biedrības struktūrvienība","LUDMILA LAIZĀNE",0,0,"Profesionālās ievirzes izglītības iestāde","Sporta skola","Biedrība Jaunatnes futbola centrs ""Skonto""","Biedrība Jaunatnes futbola centrs ""Skonto""",Nē,"EMIĻA MELNGAIĻA IELA 1A, VIDZEMES PRIEKŠPILSĒTA, RĪGA, LV-1010","67517151","jfcskonto@apollo.lv"
"Jaunatnes futbola skola Korona","3371803349","Biedrības struktūrvienība","DARJA ĻEVČENKO",0,0,"Profesionālās ievirzes izglītības iestāde","Sporta skola","""Jaunatnes futbola centrs Corona Borealis""","""Jaunatnes futbola centrs Corona Borealis""",Nē,"KROŅU IELA 21 - 1, VIDZEMES PRIEKŠPILSĒTA, RĪGA, LV-1084","29848204, 22316316","sakit@inbox.lv"
"Jaunbērzes pirmsskolas izglītības iestāde ""Minkuparks""","4501901575","Pastarpinātās pārvaldes iestāde","ANITA DIDRIHSONE",0,0,"Pirmsskolas izglītības iestāde","Pirmsskolas izglītības iestāde","Dobeles novada pašvaldība","Dobeles novada Dome",Nē,"CERIŅU IELA 9, JAUNBĒRZE, JAUNBĒRZES PAGASTS, DOBELES NOVADS, LV-3717","63723240, 63700175","minkuparks@dobele.lv"
"Jaungulbenes pirmsskolas izglītības iestāde ""Pienenīte""","4401901915","Pastarpinātās pārvaldes iestāde","INESE ŽUKA",0,0,"Pirmsskolas izglītības iestāde","Pirmsskolas izglītības iestāde","Gulbenes novada pašvaldība","Gulbenes novada pašvaldība",Nē,"""Pienenīte"", JAUNGULBENE, JAUNGULBENES PAGASTS, GULBENES NOVADS, LV-4420","64470138","pienenite@jaungulbene.lv"
"Jaunjelgavas pirmsskolas izglītības iestāde ""Atvasīte""","4501901772","Pastarpinātās pārvaldes iestāde","LARISA DINVALDE",0,0,"Pirmsskolas izglītības iestāde","Pirmsskolas izglītības iestāde","Jaunjelgavas novada dome","Jaunjelgavas novada Dome",Nē,"LIEPU IELA 23, JAUNJELGAVA, JAUNJELGAVAS NOVADS, LV-5134","65152224","atvasite@jaunjelgava.lv"
"Jaunjelgavas vidusskola","4513901040","Pastarpinātās pārvaldes iestāde","LAUMA MĪLĪGA",0,0,"Vispārējās izglītības iestāde","Vispārizglītojošā vidusskola","Jaunjelgavas novada dome","Jaunjelgavas novada Dome",Nē,"UZVARAS IELA 1, JAUNJELGAVA, JAUNJELGAVAS NOVADS, LV-5134","65133690 65133691","miliga63@inbox.lv"
"Jaunmārupes pamatskola","4312903031","Pastarpinātās pārvaldes iestāde","IVETA TIMULE",0,0,"Vispārējās izglītības iestāde","Vispārizglītojošā pamatskola","Mārupes novada Dome","Mārupes novada Dome",Nē,"MAZCENU ALEJA 4A, JAUNMĀRUPE, MĀRUPES NOVADS, LV-2166","67933594","jmsk@inbox.lv"
"Jauno Līderu vidusskola","4413900337","Pastarpinātās pārvaldes iestāde","SAIVA VĪTOLA",0,0,"Vispārējās izglītības iestāde","Vispārizglītojošā vidusskola","Līgatnes novada Dome","Līgatnes novada Dome",Nē,"STRAUTU IELA 4, LĪGATNE, LĪGATNES NOVADS, LV-4110","29418605","skola@lnv.lv"
"Jauno psiholoģiju centrs","3360800397","Biedrības struktūrvienība","LAURA GRĪNBERGA",0,0,"Profesionālās tālākizglītības un pilnveides izglītības iestāde","Profesionālās tālākizglītības un pilnveides izglītības iestāde","Biedrība ""Anima""","Biedrība ""Anima""",Nē,"ATLANTIJAS IELA 79, RĪGA, LV-1015","29481150",
"Jaunogres vidusskola","4313901327","Pastarpinātās pārvaldes iestāde","ALEKSANDRS HORUŽENKO",0,0,"Vispārējās izglītības iestāde","Vispārizglītojošā vidusskola","Ogres novada Dome","Ogres novada Dome",Nē,"MĀLKALNES PROSPEKTS 43, OGRE, OGRES NOVADS, LV-5001","65021445","jvsk@ogresnovads.lv"
"Jaunpiebalgas Mūzikas un mākslas skola","4474902286","Pastarpinātās pārvaldes iestāde","AIJA SILA",0,0,"Profesionālās ievirzes izglītības iestāde","Mūzikas un mākslas skola","Jaunpiebalgas novada pašvaldība","Jaunpiebalgas novada Dome",Nē,"BRĀĻU KAUDZĪŠU IELA 10, JAUNPIEBALGA, JAUNPIEBALGAS PAGASTS, JAUNPIEBALGAS NOVADS, LV-4125","64162465","muzikas.skola@jaunpiebalga.lv"
"Jaunpiebalgas vidusskola","4413900339","Pastarpinātās pārvaldes iestāde","ARNIS RATIŅŠ",0,0,"Vispārējās izglītības iestāde","Vispārizglītojošā vidusskola","Jaunpiebalgas novada pašvaldība","Jaunpiebalgas novada Dome",Nē,"GAUJAS IELA 41, JAUNPIEBALGA, JAUNPIEBALGAS PAGASTS, JAUNPIEBALGAS NOVADS, LV-4125","64162266","pasts@jv.edu.lv"
"Jaunpils vidusskola","4313900207","Pastarpinātās pārvaldes iestāde","JĀNIS LIEPIŅŠ",0,0,"Vispārējās izglītības iestāde","Vispārizglītojošā vidusskola","Jaunpils novada Dome","Jaunpils novada Dome",Nē,"Jaunpils vidusskola, JAUNPILS, JAUNPILS PAGASTS, JAUNPILS NOVADS, LV-3145","63162193","jaunpvsk@latnet.lv"
"Jaunsilavas pamatskola","4212900366","Pastarpinātās pārvaldes iestāde","JANĪNA USĀRE",0,0,"Vispārējās izglītības iestāde","Vispārizglītojošā pamatskola","Līvānu novada Dome","Līvānu novada Dome",Nē,"JAUNSILAVAS IELA 1, JAUNSILAVAS, TURKU PAGASTS, LĪVĀNU NOVADS, LV-5316","65300804","jaunsilavaspsk@livani.lv"
"Jaunstrūžānu pamatskola","4212901156","Pastarpinātās pārvaldes iestāde","IVARS IGAUNIS",0,0,"Vispārējās izglītības iestāde","Vispārizglītojošā pamatskola","Rēzeknes novada pašvaldība ","Rēzeknes novada pašvaldība ",Nē,"MIERA IELA 12, STRŪŽĀNI, STRUŽĀNU PAGASTS, RĒZEKNES NOVADS, LV-4643","64667096","jaunstruzani@saskarsme.lv"
"Jāzepa Mediņa Rīgas 1. mūzikas skola","3376902790","Pastarpinātās pārvaldes iestāde","JŪLIJA STRODE",0,0,"Profesionālās ievirzes izglītības iestāde","Mūzikas skola","Rīgas Dome","Rīgas Dome",Nē,"KRONVALDA BULVĀRIS 8, CENTRA RAJONS, RĪGA, LV-1010","67181678","jmr1ms@riga.lv"
"Jāzepa Mediņa Rīgas Mūzikas vidusskola","3331301252","Valsts tiešās pārvaldes iestāde",,0,0,"Profesionālās pamata un vidējās izglītības iestāde","Profesionālās vidējās izglītības iestāde","Kultūras ministrija","Latvijas Republikas Ministru kabinets",Nē,"STABU IELA 10/4, RĪGA, LV-1010","67332058","jmrmv@ml.lv"
"Jāzepa Vītola Latvijas Mūzikas akadēmija","3342301472","Atvasināta publiskā persona ","GUNTARS PRĀNIS",0,0,"Augstākās izglītības iestāde","Augstskola","Kultūras ministrija","Latvijas Republikas Ministru kabinets",Nē,"KRIŠJĀŅA BARONA IELA 1, CENTRA RAJONS, RĪGA, LV-1050","66102822","birojs@jvlma.lv"
"Jēkaba Graubiņa Līvānu Mūzikas un mākslas skola","4274902268","Pastarpinātās pārvaldes iestāde","GUNĀRS LURIŅŠ",0,0,"Profesionālās ievirzes izglītības iestāde","Mūzikas un mākslas skola","Līvānu novada Dome","Līvānu novada Dome",Nē,"RAIŅA IELA 4, LĪVĀNI, LĪVĀNU NOVADS, LV-5316","65344096","mms@livani.lv"
"Jēkabpils 2. vidusskola","1013900258","Pastarpinātās pārvaldes iestāde","ILONA SALMIŅA",0,0,"Vispārējās izglītības iestāde","Vispārizglītojošā vidusskola","Jēkabpils pilsētas pašvaldība","Jēkabpils pilsētas pašvaldība",Nē,"JAUNĀ IELA 44, JĒKABPILS, LV-5201","65232303, 20364306","skola@2vsk.edu.lv"
"Jēkabpils 3. vidusskola","1013900259","Pastarpinātās pārvaldes iestāde","LIGITA AŠNEVICA",0,0,"Vispārējās izglītības iestāde","Vispārizglītojošā vidusskola","Jēkabpils pilsētas pašvaldība","Jēkabpils pilsētas pašvaldība",Nē,"SLIMNĪCAS IELA 5, JĒKABPILS, LV-5202","65237980, 29116873","3.vidusskola@3vsk.jekabpils.lv"
"Jēkabpils Agrobiznesa koledža","1047003153","Valsts tiešās pārvaldes iestāde","RITA POLE",0,1,"Augstākās izglītības iestāde","Koledža","Izglītības un zinātnes ministrija","Latvijas Republikas Ministru kabinets",Nē,"PASTA IELA 1, JĒKABPILS, LV-5201","65231726","koledza@jak.lv"
"Jēkabpils Bērnu un jauniešu centrs","1051900297","Pastarpinātās pārvaldes iestāde","OSKARS ELKSNIS",0,0,"Bērnu un jauniešu interešu izglītības iestāde","Bērnu un jauniešu interešu izglītības iestāde","Jēkabpils pilsētas pašvaldība","Jēkabpils pilsētas Dome",Nē,"BRĪVĪBAS IELA 258, JĒKABPILS, LV-5201","65232115","jekabpilsbjc@inbox.lv"
"Jēkabpils Mākslas skola","1075902405","Pastarpinātās pārvaldes iestāde","ZIEDONIS BĀRBALS",0,3,"Profesionālās ievirzes izglītības iestāde","Mākslas skola","Jēkabpils pilsētas pašvaldība","Jēkabpils pilsētas pašvaldība",Nē,"DAMBJA IELA 19, JĒKABPILS, LV-5201","65231423, 26879715","maksla@jrms.lv"
"Jēkabpils pilsētas pirmsskolas izglītības iestāde ""Auseklītis""","1001900301","Pastarpinātās pārvaldes iestāde","ANITA PAĢIRE",0,0,"Pirmsskolas izglītības iestāde","Pirmsskolas izglītības iestāde","Jēkabpils pilsētas pašvaldība","Jēkabpils pilsētas pašvaldība",Nē,"DŪMU IELA 1, JĒKABPILS, LV-5201","65234628, 22319566","pii.auseklitis@inbox.lv"
"Jēkabpils pilsētas pirmsskolas izglītības iestāde ""Bērziņš""","1001900300","Pastarpinātās pārvaldes iestāde","ZINAIDA KOTKINA",0,0,"Pirmsskolas izglītības iestāde","Pirmsskolas izglītības iestāde","Jēkabpils pilsētas pašvaldība","Jēkabpils pilsētas Dome",Nē,"MADONAS IELA 50, JĒKABPILS, LV-5202","65223384, 26865160","bberzins@inbox.lv"
"Jēkabpils pilsētas pirmsskolas izglītības iestāde ""Kāpēcītis""","1001900304","Pastarpinātās pārvaldes iestāde","JANĪNA ANSPOKA",0,0,"Pirmsskolas izglītības iestāde","Pirmsskolas izglītības iestāde","Jēkabpils pilsētas pašvaldība","Jēkabpils pilsētas Dome",Nē,"PALEJAS IELA 15A, JĒKABPILS, LV-5202","65236050, 29186785","piikapecitis@apollo.lv"
"Jēkabpils pilsētas pirmsskolas izglītības iestāde ""Zvaigznīte""","1001900302","Pastarpinātās pārvaldes iestāde","ANITA APINE",0,0,"Pirmsskolas izglītības iestāde","Pirmsskolas izglītības iestāde","Jēkabpils pilsētas pašvaldība","Jēkabpils pilsētas pašvaldība",Nē,"MEŽA IELA 12, JĒKABPILS, LV-5201","65230133, 22319555","zvaigznite@pii.jekabpils.lv"
"Jēkabpils pilsētas pirmsskolas izglītības iestāde ""Zvaniņš""","1001900303","Pastarpinātās pārvaldes iestāde","SILVIJA BĒRZIŅA",0,0,"Pirmsskolas izglītības iestāde","Pirmsskolas izglītības iestāde","Jēkabpils pilsētas pašvaldība","Jēkabpils pilsētas pašvaldība",Nē,"MEŽA IELA 9, JĒKABPILS, LV-5201","65233741, 22306508","zvanins@pii.jekabpils.lv"
"Jēkabpils Sporta skola","1071902185","Pastarpinātās pārvaldes iestāde","EDGARS LAMBA",0,0,"Profesionālās ievirzes izglītības iestāde","Sporta skola","Jēkabpils pilsētas pašvaldība","Jēkabpils pilsētas pašvaldība",Nē,"ANDREJA PORMAĻA IELA 106, JĒKABPILS, LV-5201","29175659","jekabpilssportaskola@inbox.lv"
"Jēkabpils Tālākizglītības un informācijas tehnoloģiju centrs","1060900155","Pastarpinātās pārvaldes iestāde",,0,0,"Profesionālās tālākizglītības un pilnveides izglītības iestāde","Profesionālās tālākizglītības un pilnveides izglītības iestāde","Jēkabpils pilsētas pašvaldība","Jēkabpils pilsētas pašvaldība",Nē,"JAUNĀ IELA 44, JĒKABPILS, LV-5201","65221333","titc@titc.lv"
