Nr. p. k.,Novads/republikas pilsēta,Iestādes reģistrācijas Nr.,Iestādes nosaukums,Pakļautība,Iestādes veids,Iestādes tips,Adrese,Epasts,Tālrunis,Direktors,Bērnu skaits pirmsskolas programmās,Izglītojamo skaits 1. - 12. klasē
440,RĪGA,3513900774,Rīgas 69. vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"IMANTAS IELA 11A, KURZEMES RAJONS, RĪGA, LV-1067",r69vs@riga.lv,"67454171, 67422322",IJA GROSMANE,0,392
441,RĪGA,3513900775,Rīgas Ostvalda vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"DAMMES IELA 20, KURZEMES RAJONS, RĪGA, LV-1067",rovs@riga.lv,"67423748, 67422819",JEĻENA IVANOVA,0,1006
442,RĪGA,3513900776,Rīgas 96. vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"AURU IELA 6A, KURZEMES RAJONS, RĪGA, LV-1069",r96vs@riga.lv,67474315,IRMA ĻIHAČOVA,0,885
443,RĪGA,3513900836,Rīgas 33. vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"STŪRMAŅU IELA 23, KURZEMES RAJONS, RĪGA, LV-1016",r33vs@riga.lv,"67433415, 67433426, 29992150",INĀRA KOSTINA,0,789
444,RĪGA,3515803174,"Tālmācības vidusskola ""Rīgas 1. vidusskola""",Juridiska vai fiziska persona,Vispārējās izglītības iestāde,Neklātienes vidusskola,"LOMONOSOVA IELA 4, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1003",skola@vidusskola.com,28310100,LILIJA MOISEJENOKA,0,882
445,RĪGA,3519900642,Rīgas Valsts vācu ģimnāzija,Pašvaldība ,Vispārējās izglītības iestāde,Valsts ģimnāzija,"ĀGENSKALNA IELA 21, KURZEMES RAJONS, RĪGA, LV-1048",rvvg@riga.lv,"67611146, 67612480",GUNDEGA MUCENIECE,0,663
446,RĪGA,3611803294,"Sākumskola ""Lielie stāsti""",Juridiska vai fiziska persona,Vispārējās izglītības iestāde,Vispārizglītojošā sākumskola,"STABU IELA 63, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1011",lieliestasti@gmail.com,+37129188332,INGŪNA MIKUDA,0,9
447,RĪGA,3612801468,"Privātā pamatskola ""Maksima""",Juridiska vai fiziska persona,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"PĀRMIJU IELA 14A, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1057",maksima@maksima-edu.lv,67187029,INĀRA KUHARJONOKA,40,61
448,RĪGA,3612900249,Jankas Kupalas Rīgas Baltkrievu pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"ILŪKSTES IELA 10, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1082",jkbkps@riga.lv,67247545,ANŽELA DMITRIJEVA,0,142
449,RĪGA,3612900688,O.Kalpaka Rīgas Tautas daiļamatu pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"SKRINDU IELA 1, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1003",tdaps@riga.lv,"67037962, 67037964, 67037965",ALLA ŠTOLCERE,0,571
450,RĪGA,3612900689,Andreja Pumpura Rīgas 11. pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"MASKAVAS IELA 197, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1019",ap11ps@riga.lv,"67141237, 67141338",RENĀTE LINDE,0,660
451,RĪGA,3612902865,Rīgas Pļavnieku pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"JĀŅA GRESTES IELA 14, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1021",plavniekups@riga.lv,"67246868, 67246870",SIMONA SPALVA,0,765
452,RĪGA,3612902961,Rīgas Avotu pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"AVOTU IELA 44, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1009",raps@riga.lv,"20004884, 20006908",JURIS ŠMITS,0,173
453,RĪGA,3612903309,Rīgas 1. Kristīgā pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"AUGUSTA DEGLAVA IELA 3, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1009",r1krps@riga.lv,67273824,IVETA GAILE,0,193
454,RĪGA,3612903378,Rīgas Valda Avotiņa pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"SALASPILS IELA 14, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1057",rvapsac@riga.lv,"67271125, 67277707",IRIDA JANSONE,0,210
455,RĪGA,3613800446,"Rīgas ģimnāzija ""Maksima""",Juridiska vai fiziska persona,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"PĀRMIJU IELA 14A, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1057",maksima@maksima-edu.lv,67187029,INĀRA KUHARJONOKA,0,17
456,RĪGA,3613801080,"Informācijas sistēmu menedžmenta augstskolas vidusskola ""PREMJERS""",Juridiska vai fiziska persona,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"LOMONOSOVA IELA 1 k-6, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1019",skola@isma.lv,"67218501, 67218503",INGA BRIČINSKA,0,202
457,RĪGA,3613801984,"Privātā vidusskola ""Norma""",Juridiska vai fiziska persona,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"AUGUSTA DEGLAVA IELA 120, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1082",skolanorma@inbox.lv,22115319,ELVĪRA SITŅIKA,25,33
458,RĪGA,3613802155,Habad Ebreju privātā vidusskola,Juridiska vai fiziska persona,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"LĀČPLĒŠA IELA 141, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1003",habad.skola@online.lv,67204032,,28,34
459,RĪGA,3613802748,Rīgas 1. vidusskola,Juridiska vai fiziska persona,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"AKADĒMIJAS LAUKUMS 1, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1050",info@r1vsk.lv,22814432,AINA KLĪVE,0,615
460,RĪGA,3613802902,Torņakalna Privātā vidusskola,Juridiska vai fiziska persona,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"TORŅAKALNA IELA 15, ZEMGALES PRIEKŠPILSĒTA, RĪGA, LV-1004",info@tpv.lv,29605504,,35,71
461,RĪGA,3613803121,"Privātā vidusskola ""RIMS""",Juridiska vai fiziska persona,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"SLĀVU IELA 2, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1019",info@rims.edu.lv,28809192,UNA PENTJUŠA,65,41
462,RĪGA,3613900664,Rīgas 65. vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"PRŪŠU IELA 32, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1057",r65vs@riga.lv,"67189120, 67189119",LUDMILA VASIĻJEVA,0,286
463,RĪGA,3613900665,Rīgas Sergeja Žoltoka vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"VIETALVAS IELA 15, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1035",rszvs@riga.lv,"67574145, 67570997",VACLAVA PLUČA,0,309
464,RĪGA,3613900669,Rīgas 93. vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"SESKU IELA 72, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1082",r93vs@riga.lv,"67575557, 67599990",GUNITA KĻAVIŅA,0,546
465,RĪGA,3613900670,Rīgas 72. vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"IKŠĶILES IELA 6, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1057",r72vs@riga.lv,"67267110, 67268978",ALEKSANDRS ANZUĻEVIČS,0,1270
466,RĪGA,3613900672,Rīgas 88. vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"ILŪKSTES IELA 30, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1082",r88vs@riga.lv,"67810722, 67810729",ŅINA LABADA,0,1314
467,RĪGA,3613900677,Rīgas 15. vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"VISVALŽA IELA 9, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1050",r15vs@riga.lv,"67288754, 67288623",NATAĻJA KUBASOVA,0,439
468,RĪGA,3613900678,Rīgas 25. vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"RUŠONU IELA 6, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1057",r25vs@riga.lv,"67848924, 67848925",INGA NESTERE,0,797
469,RĪGA,3613900679,Rīgas 92. vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"ULBROKAS IELA 3, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1021",r92vs@riga.lv,"67247854, 67246009",LOLITA SEMJONOVA,0,878
470,RĪGA,3613900680,Rīgas Ķengaraga vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"MASKAVAS IELA 273, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1063",rkvs@riga.lv,"67187888, 67187004",TATJANA BELUGINA,0,682
471,RĪGA,3613900682,Rīgas 75. vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"OGRES IELA 9, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1019",r75vs@riga.lv,"67145781, 67145843",LUDMILA KAŠINA,0,588
472,RĪGA,3613900683,Rīgas 86. vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"ILŪKSTES IELA 10, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1082",r86vs@riga.lv,"67247436, 67136008",ANŽELA DMITRIJEVA,0,710
473,RĪGA,3613900684,Rīgas 6. vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"ALEKSANDRA ČAKA IELA 102, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1011",r6vs@riga.lv,"67314044, 67314244",HARALDS BĀRZDIŅŠ,0,1063
474,RĪGA,3613900685,Rīgas 51. vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"MASKAVAS IELA 262, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1063",r51vs@riga.lv,"67187896, 67187010",NADEŽDA AKOPJANA,0,651
475,RĪGA,3613900788,Rīgas Ukraiņu vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"VISVALŽA IELA 4, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1050",rukvs@riga.lv,"67288515, 67284779, 67287708",LIDIJA KRAVČENKO,58,262
476,RĪGA,3613901263,Rīgas Lietuviešu vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"BULTU IELA 5, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1057",rlvs@riga.lv,"67258281, 67131506",JOLANTA NAGLE,0,461
477,RĪGA,3613903047,J.G.Herdera Rīgas Grīziņkalna vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"LAUKU IELA 9, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1009",rherdvs@riga.lv,"67848952, 67848951",VERA PRIDAČA,0,692
478,RĪGA,3613903082,Rīgas Austrumu vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"VIĻĀNU IELA 13, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1003",ravs@riga.lv,67181524,LUDMILA LAHOVA,0,427
479,RĪGA,3613903316,Rīgas Reinholda Šmēlinga vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"GAIZIŅA IELA 1, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1050",rrsvs@riga.lv,67220025,JĀNIS JAPIŅŠ,0,708
480,RĪGA,3620900693,Rīgas Daugavas pamatskola,Pašvaldība ,Speciālās izglītības iestāde,Speciālā pamatskola,"AGLONAS IELA 57, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1057",rdps@riga.lv,67474410,NATAĻJA SITŅIKA,0,278
481,RĪGA,3622900692,Rīgas 2. pamatskola,Pašvaldība ,Speciālās izglītības iestāde,Speciālā pamatskola,"LUDZAS IELA 43, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1003",r2ps@riga.lv,"67144186, 67144188",IVARS UPENIEKS,17,266
482,RĪGA,3624903100,Rīgas 5. pamatskola-attīstības centrs,Pašvaldība ,Speciālās izglītības iestāde,Internātskola - attīstības centrs,"BRĪVĪBAS GATVE 384a, VIDZEMES PRIEKŠPILSĒTA, RĪGA, LV-1006",r5sips@riga.lv,"67181709, 67181708",ILUTA VILNĪTE,4,262
483,RĪGA,3711802689,"Privātā sākumskola ""Namiņš""",Juridiska vai fiziska persona,Vispārējās izglītības iestāde,Vispārizglītojošā sākumskola,"ĀRAIŠU IELA 32, VIDZEMES PRIEKŠPILSĒTA, RĪGA, LV-1039",namins2000@inbox.lv,"67530206, 26443766",SANDRA INDRIKSONE,78,44
484,RĪGA,3711803037,"Privātā Montesori sākumskola ""Pētnieki""",Juridiska vai fiziska persona,Vispārējās izglītības iestāde,Vispārizglītojošā sākumskola,"DZIRNUPES IELA 3, VIDZEMES PRIEKŠPILSĒTA, RĪGA, LV-1024",info@petniekudarbnica.lv,29491639,JŪLIJA KEZIKA,0,49
485,RĪGA,3711803040,Rīgas pilsētas sākumskola,Juridiska vai fiziska persona,Vispārējās izglītības iestāde,Vispārizglītojošā sākumskola,"AIZPRIEŽU IELA 34, VIDZEMES PRIEKŠPILSĒTA, RĪGA, LV-1006",rigassakumskola@gmail.com,29125540,,18,82
486,RĪGA,3711803142,"Privātā sākumskola ""Rīgas Vācu skola""",Juridiska vai fiziska persona,Vispārējās izglītības iestāde,Vispārizglītojošā sākumskola,"DZIRNAVU IELA 16, VIDZEMES PRIEKŠPILSĒTA, RĪGA, LV-1010",schule@deutscheschuleriga.lv,29250084,MARTIN FARENFIELD,103,45
487,RĪGA,3711803265,"Kristīgā sākumskola ""Ceļš""",Juridiska vai fiziska persona,Vispārējās izglītības iestāde,Vispārizglītojošā sākumskola,"BRĪVĪBAS GATVE 229 - 5, VIDZEMES PRIEKŠPILSĒTA, RĪGA, LV-1039",info@ksc.lv,26535522,GUNA RĪMANE,7,9
488,RĪGA,3712803250,Rīgas Kristīgā pamatskola,Juridiska vai fiziska persona,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"BRĪVĪBAS GATVE 221 - 1, VIDZEMES PRIEKŠPILSĒTA, RĪGA, LV-1039",infopamatskola@gmail.com,+37126379201,JEKATERINA ŪDRE,0,30
489,RĪGA,3712803253,"Privātā vispārējā izglītības iestāde ""Mīlestības Māja""",Juridiska vai fiziska persona,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"GUSTAVA ZEMGALA GATVE 48, VIDZEMES PRIEKŠPILSĒTA, RĪGA, LV-1039",milestibasmaja@gmail.com,29583959,INA GRASMANE,32,29
490,RĪGA,3712900760,Mežciema pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"HIPOKRĀTA IELA 31, VIDZEMES PRIEKŠPILSĒTA, RĪGA, LV-1079",mcps@riga.lv,67474288,ANDA PRIEDĪTE,59,761
491,RĪGA,3713801443,"Privātā vidusskola ""Klasika""",Juridiska vai fiziska persona,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"KRIMULDAS IELA 2, VIDZEMES PRIEKŠPILSĒTA, RĪGA, LV-1039",klasika@klasika.edu.lv,28643874,SVETLANA ŠIBKO-ŠIPKOVSKA,60,127
492,RĪGA,3713801461,"Privātā vidusskola ""Laisma""",Juridiska vai fiziska persona,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"KAREIVJU IELA 5, VIDZEMES PRIEKŠPILSĒTA, RĪGA, LV-1013",laisma@apollo.lv,67364436,INGA LUKAŠĒVIČA,46,103
493,RĪGA,3713802710,"Privātā vidusskola ""MAXVEL""",Juridiska vai fiziska persona,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"NĪCGALES IELA 4 - 38, VIDZEMES PRIEKŠPILSĒTA, RĪGA, LV-1035",maxvel@mail.eunet.lv,29540510,JEĻENA MIRONOVA,67,0
494,RĪGA,3713803152,"Privātā vidusskola ""Citruss""",Juridiska vai fiziska persona,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"VECĀ BIĶERNIEKU IELA 41 - 5, VIDZEMES PRIEKŠPILSĒTA, RĪGA, LV-1079",skola@citruss.lv,29234545,JOLANTA KRASOVSKA,50,42
495,RĪGA,3713900735,Rīgas 84. vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"LIELVĀRDES IELA 141, VIDZEMES PRIEKŠPILSĒTA, RĪGA, LV-1082",r84vs@riga.lv,"67572681, 67574690",VINETA MISGIRDA,0,1246
496,RĪGA,3713900738,Rīgas 85. vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"PURVCIEMA IELA 23A, VIDZEMES PRIEKŠPILSĒTA, RĪGA, LV-1035",r85vs@riga.lv,67546199,AIJA MAKŠĀNE,115,490
497,RĪGA,3713900740,Rīgas Franču licejs,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"KRIŠJĀŅA VALDEMĀRA IELA 48, VIDZEMES PRIEKŠPILSĒTA, RĪGA, LV-1013",rfl@riga.lv,"67474156, 67474158",VINETA RŪTENBERGA,0,1122
498,RĪGA,3713900741,Rīgas Hanzas vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"GROSTONAS IELA 5, VIDZEMES PRIEKŠPILSĒTA, RĪGA, LV-1013",hvs@riga.lv,67474304,VALDIS LAPIŅŠ,0,978
499,RĪGA,3713900742,Rīgas 45. vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"ROPAŽU IELA 34, VIDZEMES PRIEKŠPILSĒTA, RĪGA, LV-1039",r45vs@riga.lv,67551719,BAIBA NEIMANE,0,850
500,RĪGA,3713900746,Rīgas Teikas vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"AIZKRAUKLES IELA 14, VIDZEMES PRIEKŠPILSĒTA, RĪGA, LV-1006",rtvs@riga.lv,"67553262, 67552897",GUNA PUDULE,0,1121
501,RĪGA,3713900749,Rīgas Purvciema vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"DETLAVA BRANTKALNA IELA 5, VIDZEMES PRIEKŠPILSĒTA, RĪGA, LV-1082",pcvs@riga.lv,"67578315, 67575453",JURIJS KĻUKINS,0,1368
502,RĪGA,3713900750,Rīgas 21. vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"TOMSONA IELA 35, VIDZEMES PRIEKŠPILSĒTA, RĪGA, LV-1013",r21vs@riga.lv,"67371041, 67371143",OKSANA DAŅIĻENKO,0,511
503,RĪGA,3713900751,Rīgas 49. vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"KRIŠJĀŅA VALDEMĀRA IELA 65, VIDZEMES PRIEKŠPILSĒTA, RĪGA, LV-1010",r49vs@riga.lv,67474080,IMANTS MEDNIS,0,888
504,RĪGA,3713900752,Rīgas 89. vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"HIPOKRĀTA IELA 27, VIDZEMES PRIEKŠPILSĒTA, RĪGA, LV-1079",r89vs@riga.lv,"67536800, 67536336",MARINA SERKOVA,0,720
505,RĪGA,3713900753,Rīgas 80. vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"ANDROMEDAS GATVE 11, VIDZEMES PRIEKŠPILSĒTA, RĪGA, LV-1084",r80vs@riga.lv,"67572997, 67572408",ANNA VLADOVA,127,735
506,RĪGA,3713900754,Š. Dubnova Rīgas Ebreju vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"MIERA IELA 64, VIDZEMES PRIEKŠPILSĒTA, RĪGA, LV-1013",sdvnrevs@riga.lv,67520855,KARĪNA BRIKMANE,0,386
507,RĪGA,3713900755,Rīgas 63. vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"BALTEZERA IELA 6, VIDZEMES PRIEKŠPILSĒTA, RĪGA, LV-1024",r63vs@riga.lv,"67525764, 67525778",NATAĻJA NAUMECA,0,616
508,RĪGA,3713900756,Rīgas 64. vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"ŪNIJAS IELA 93, VIDZEMES PRIEKŠPILSĒTA, RĪGA, LV-1084",r64vs@riga.lv,"67598929, 67599590",ERNESTS SVIKLIS,0,1476
509,RĪGA,3713900757,Rīgas Juglas vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"KVĒLES IELA 64, VIDZEMES PRIEKŠPILSĒTA, RĪGA, LV-1064",rjvs@riga.lv,"67533669, 67533664",AIJA MELLE,203,1583
510,RĪGA,3713900758,Rīgas 74. vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"INDUĻA IELA 4, VIDZEMES PRIEKŠPILSĒTA, RĪGA, LV-1084",r74vs@riga.lv,"67802533, 67599121",VLADISLAVS NAZARENKO,0,622
511,RĪGA,3713900789,Rīgas Itas Kozakēvičas Poļu vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"NĪCGALES IELA 15, VIDZEMES PRIEKŠPILSĒTA, RĪGA, LV-1035",ikpvs@riga.lv,"67546742, 67598375",KRZYSZTOF SZYRSZEN,75,294
512,RĪGA,3713903310,Rīgas 9. vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"STĀMERIENAS IELA 8, VIDZEMES PRIEKŠPILSĒTA, RĪGA, LV-1006",r9vsk@riga.lv,67551531,ILZE DUPATE,0,348
513,RĪGA,3715802846,"Tālmācības vidusskola ""Rīgas Komercskola""",Juridiska vai fiziska persona,Vispārējās izglītības iestāde,Neklātienes vidusskola,"ALBERTA IELA 13, VIDZEMES PRIEKŠPILSĒTA, RĪGA, LV-1010",info@rigaskomercskola.lv,67828055,ILZE BEĻINSKA,0,580
514,RĪGA,3719903376,Rīgas Valsts klasiskā ģimnāzija,Pašvaldība ,Vispārējās izglītības iestāde,Valsts ģimnāzija,"PURVCIEMA IELA 38, VIDZEMES PRIEKŠPILSĒTA, RĪGA, LV-1035",rklasg@riga.lv,67570888,ROMANS ALIJEVS,0,1917
515,RĪGA,3720900834,Rīgas 4. pamatskola,Pašvaldība ,Speciālās izglītības iestāde,Speciālā pamatskola,"TIRZAS IELA 2, VIDZEMES PRIEKŠPILSĒTA, RĪGA, LV-1024",r4sips@riga.lv,"67524019, 67514132",INTA PASTERE,39,161
516,RĪGA,3725900835,Rīgas Strazdumuižas vidusskola-attīstības centrs,Pašvaldība ,Speciālās izglītības iestāde,Speciālā vidusskola,"BRAILA IELA 24, VIDZEMES PRIEKŠPILSĒTA, RĪGA, LV-1024",smivs@riga.lv,"67532022, 67533181, 67533081",LIGITA ĢEIDA,39,114
517,RĪGA,3811803410,"Sākumskola ""Montessori māja""",Juridiska vai fiziska persona,Vispārējās izglītības iestāde,Vispārizglītojošā sākumskola,"EDUARDA SMIĻĢA IELA 14 - 6, ZEMGALES PRIEKŠPILSĒTA, RĪGA, LV-1002",nina.stepanova@gmail.com,29450636,ŅINA STEPANOVA,39,0
518,RĪGA,3812803036,Pārdaugavas Montesori pamatskola,Juridiska vai fiziska persona,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"OLGAS IELA 1, ZEMGALES PRIEKŠPILSĒTA, RĪGA, LV-1004",montesori.pardaugava@gmail.com,29401581,KĀRLIS ANDERSONS,0,48
519,RĪGA,3812803227,Pārdaugavas Valdorfa pamatskola,Juridiska vai fiziska persona,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"ĢIMNASTIKAS IELA 26A - 8, ZEMGALES PRIEKŠPILSĒTA, RĪGA, LV-1004",info@pardaugavas-valdorfskola.lv,26597277,MAIRA TONE,0,42
520,RĪGA,3812900704,Rīgas Pārdaugavas pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"KARTUPEĻU IELA 2, ZEMGALES PRIEKŠPILSĒTA, RĪGA, LV-1058",pdps@riga.lv,67623155,IRĒNA ŠINKAREVA,0,507
521,RĪGA,3812900716,Friča Brīvzemnieka pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"ZEĻĻU IELA 4, ZEMGALES PRIEKŠPILSĒTA, RĪGA, LV-1002",fbps@riga.lv,67474044,BIRUTA VENCKUS,0,402
522,RĪGA,3812902864,Rīgas Igauņu pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"ATGĀZENES IELA 26, ZEMGALES PRIEKŠPILSĒTA, RĪGA, LV-1004",rigauvs@riga.lv,67601428,URVE AIVARS,0,217
523,RĪGA,3813800960,"Rīgas vispārizglītojošā privātā vidusskola ""Evrika""",Juridiska vai fiziska persona,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"JŪRMALAS GATVE 76, KURZEMES RAJONS, RĪGA, LV-1083",skolevrika@inbox.lv,"67401241, 67406809",VALĒRIJS BUHVALOVS,22,1
524,RĪGA,3813801134,Rīgas Katoļu ģimnāzija,Juridiska vai fiziska persona,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"OJĀRA VĀCIEŠA IELA 6, ZEMGALES PRIEKŠPILSĒTA, RĪGA, LV-1004",info@rkgimnazija.lv,67611206,ANNA JERMAKOVIČA,55,179
525,RĪGA,3813803052,Rīgas Starptautiskā skola,Juridiska vai fiziska persona,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"KALNCIEMA IELA 118, ZEMGALES PRIEKŠPILSĒTA, RĪGA, LV-1046",info@isriga.lv,67624622,SHANE KELLS,36,225
526,RĪGA,3813900699,Rīgas Angļu ģimnāzija,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"ZVĀRDES IELA 1, ZEMGALES PRIEKŠPILSĒTA, RĪGA, LV-1004",rag@riga.lv,67612425,MAIJA KOKARE,0,1146
527,RĪGA,3813900700,Ziemeļvalstu ģimnāzija,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"PAULA LEJIŅA IELA 12, ZEMGALES PRIEKŠPILSĒTA, RĪGA, LV-1029",zvg@riga.lv,"67406969, 67406995",INGA LANDE,0,964
